,Question
160,Emily is making bead necklaces for her friends. She had x1 beads and she was able to make x2 necklaces. how many beads did each necklace need?
161,Paige raised x1 goldfish and x2 catfish in the pond but stray cats loved eating them. Now she has x3 left. how many fishes disappeared?
162,Paco had x1 sweet cookies and x2 salty cookies. He ate x3 salty cookies and x4 sweet cookies. how many more salty cookies than sweet cookies did he eat?
163,Steven has x1 peaches. Jake has x2 fewer peaches than Steven and x3 more peaches than Jill. how many peaches does jill have?
164,Paul had x1 books. He sold x2 books in a garage sale. how many books does he have left with him?
165,An industrial machine made x1 shirts yesterday and x2 shirts today. It can make x3 shirts a minute. how many minutes did the machine work in all?
166,Carol was sending out birthday invitations to her friends. Each package of invitations she bought had x1 invitations in it and she bought x2 packs. Then she bought x3 extra invitations. how many friends can she invite?
167,An industrial machine can make x1 shirts per minute. It made x2 shirts in all. how many minutes was the machine working?
168,Danny collects bottle caps. He found x1 bottle caps at the park while he threw away x2 old ones. Now he has x3 bottle caps in his collection. how many bottle caps did danny have at first?
169,A grocery store had x1 bottles of regular soda and x2 bottles of diet soda. how many more bottles of regular soda than diet soda did they have?
170,During summer break x1 kids from Lawrence county stayed home and the other x2 kids went to camp. An additional x3 kids from outside the county attended the camp. how many kids are in lawrence county?
171,Faye was placing x1 pencils into rows with x2 pencils in each row. how many rows could she make?
172,Frank had some pieces of candy. If he put them into x1 bags with x2 pieces in each bag how many pieces of candy did he have?
173,A grocery store had a total of x1 bottles of which x2 were bottles of regular soda and the rest were bottles of diet soda. They also had x3 apple. how many bottles of diet soda did they have?
174,Jake has x1 fewer peaches than Steven who has x2 more peaches than Jill. Steven has x3 peaches. how many more peaches does jake have than jill?
175,Josh had x1 marbles in his collection. He gave x2 marbles to Jack. how many marbles does josh have now?
176,Steven has x1 peaches. Jake has x2 fewer peaches than Steven who has x3 more peaches than Jill. how many peaches does jake have?
177,The Razorback t-shirt shop makes $ x1 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of x2 t-shirts. If they sold x3 t-shirts during the Arkansas game how much money did they make from selling the t-shirts during the arkansas game?
178,"Jack received x1 emails in the morning, x2 emails in the afternoon and x3 emails in the evening. how many emails did jack receive in the day?"
179,Jake has x1 fewer peaches than Steven. Steven has x2 more peaches than Jill. If Jill has x3 peaches how many more peaches does jake have than jill?
180,For the walls of the house he would use x1 large planks of wood. If each plank of wood needs x2 pieces of nails to be secured and in addition x3 nails are needed for some smaller planks. how many nails does john need for the house wall?
181,"A grocery store had x1 bottles of diet soda, x2 bottles of regular soda and x3 apples. how many more bottles of regular soda than diet soda did they have?"
182,Because of the decision Sofia asked the students to suggest specific types of food. If x1 students suggested adding bacon x2 suggested adding mashed potatoes to the menu and x3 suggested adding tomatoes how many more students suggested mashed potatoes than those that suggested bacon?
183,Brenda's mother made cookies for x1. If each of them had x2 cookies how many cookies did she prepare?
184,Dave had x1 apps on his phone. He added x2 new apps. After deleting some he had x3 left. how many more apps did he delete than he added?
185,Kelly has x1 nintendo games. how many will she have left if she gives away x2 games?
186,Matthew had x1 crackers. If Matthew gave equal numbers of crackers to his x2 friends and still had x3 crackers left how many crackers did each friend eat?
187,Last week Fred had x1 dollars and Jason had x2 dollars. They washed cars over the weekend and now Fred has x3 dollars and Jason has x4 dollars. how much money did jason make over the weekend?
188,Frank had x1 pieces of candy. If he put them equally into x2 bags how many pieces of candy are in each bag?
189,Jack received x1 emails in the morning and x2 emails in the afternoon. how many more emails did jack receive in the morning than in the afternoon?
190,Baker made x1 cakes and x2 pastries. If he sold x3 pastries and x4 cakes how many more pastries than cakes did baker sell?
191,Haley has x1 marbles. In her class x2 boys love to play marbles. If she distributes her marbles equally how many will each of the boys receive?
192,They decided to hold the party in their backyard. They have x1 sets of tables and each set has x2 chairs. If a total of x3 people will attend the party how many more chairs will they have to buy?
193,Last week Fred had x1 dollars and Jason had x2 dollars. They washed cars over the weekend and now Fred has x3 dollars and Jason has x4 dollars. how much money did fred earn over the weekend?
